0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
300,1650639987.5747876,33.268428802490234,-69.15507507324219,1503.193115234375,-0.6409080028533936,0.7027557492256165,0.3088224530220032,-0.5112969279289246,-0.690902054309845,0.5111064314842224,0.572549045085907,0.1696722358465194,0.8021215200424194
4,1650639987.574811,-258.07928466796875,-137.21347045898438,1468.8543701171875,-0.2547724843025207,0.9474398493766784,-0.1935168206691742,-0.906234860420227,-0.3037547171115875,-0.2940602302551269,-0.3373860120773315,0.1004532352089881,0.93599134683609
300,1650639987.6035218,33.276302337646484,-69.13995361328125,1503.20458984375,-0.64114910364151,0.7028582692146301,0.3080878853797912,-0.5113738775253296,-0.690636396408081,0.5113884210586548,0.5722102522850037,0.1703281104564666,0.8022242188453674
4,1650639987.6035678,-257.0036926269531,-137.0399932861328,1468.4888916015625,-0.2490010857582092,0.9478935599327089,-0.1987367421388626,-0.9062095284461976,-0.300432026386261,-0.2975313663482666,-0.341734915971756,0.1060115098953247,0.93379807472229
300,1650639987.6335697,33.269020080566406,-69.14289855957031,1503.2255859375,-0.6409466862678528,0.7027726769447327,0.3087036609649658,-0.5113886594772339,-0.6908823251724243,0.5110413432121277,0.5724237561225891,0.1696826815605163,0.8022087216377258
4,1650639987.6335952,-256.2405090332031,-136.5235137939453,1467.7950439453125,-0.2436269074678421,0.949589729309082,-0.1972949802875518,-0.9053890109062196,-0.2956088781356811,-0.3047722578048706,-0.3477307558059692,0.1043779850006103,0.931766390800476
300,1650639987.6621077,33.270389556884766,-69.17656707763672,1503.2305908203125,-0.6410543918609619,0.7028331756591797,0.3083419799804687,-0.5112717747688293,-0.6906943321228027,0.5114122629165649,0.5724075436592102,0.1701965183019638,0.8021114468574524
4,1650639987.662133,-255.6824493408203,-135.57505798339844,1466.6422119140625,-0.2403254359960556,0.9503454566001892,-0.1977049559354782,-0.9029349684715272,-0.2936249375343323,-0.3138356506824493,-0.3563033640384674,0.103092037141323,0.9286656975746156
300,1650639987.6978345,33.26203918457031,-69.18455505371094,1503.1875,-0.6409404277801514,0.7030795812606812,0.3080170154571533,-0.5110271573066711,-0.6902686357498169,0.5122309327125549,0.5727535486221313,0.1709044426679611,0.8017138242721558
4,1650639987.697862,-255.94493103027344,-134.0934295654297,1465.1568603515625,-0.2392055690288543,0.9520445466041564,-0.1907666474580764,-0.8996219038963318,-0.2912303209304809,-0.3253695070743561,-0.3653233051300049,0.0937876552343368,0.926144003868103
300,1650639987.727538,33.2491569519043,-69.21866607666016,1503.1904296875,-0.6409894227981567,0.7029353976249695,0.3082440793514251,-0.5110581517219543,-0.6904932260513306,0.511897087097168,0.5726709961891174,0.1705899536609649,0.8018397688865662
4,1650639987.7275703,-256.2239685058594,-133.0508575439453,1464.166748046875,-0.2385551631450653,0.9531861543655396,-0.1858158856630325,-0.8963049054145813,-0.2897567451000213,-0.3356762230396271,-0.3738033473491668,0.0864703953266143,0.9234684109687804
300,1650639987.765528,33.25039291381836,-69.22103118896484,1503.1812744140625,-0.6410757303237915,0.7028399705886841,0.308282196521759,-0.5111384391784668,-0.6906328797340393,0.5116285085678101,0.5725027918815613,0.1704177409410476,0.8019964694976807
4,1650639987.7655518,-255.81491088867188,-132.26235961914062,1463.29052734375,-0.2361070215702057,0.9534783959388732,-0.1874365806579589,-0.8937089443206787,-0.2887999415397644,-0.3433350026607513,-0.3814941644668579,0.0864499509334564,0.9203198552131652
300,1650639987.795595,33.25371551513672,-69.21774291992188,1503.1805419921875,-0.6410937905311584,0.7028945088386536,0.3081202208995819,-0.5112004280090332,-0.6905518770217896,0.5116758942604065,0.5724272131919861,0.170521080493927,0.802028477191925
4,1650639987.7956192,-255.0430450439453,-132.25440979003906,1463.0556640625,-0.2366125136613845,0.95185524225235,-0.194900244474411,-0.8925542831420898,-0.2921983897686004,-0.3434632420539856,-0.3838768303394317,0.0926913395524025,0.918720245361328
300,1650639987.8284023,33.25474166870117,-69.2469253540039,1503.199462890625,-0.64108806848526,0.7030155062675476,0.307856023311615,-0.5109491348266602,-0.6902785897254944,0.5122952461242676,0.5726579427719116,0.1711275577545166,0.8017345666885376
4,1650639987.8284297,-254.77943420410156,-132.4483642578125,1463.11865234375,-0.2363229691982269,0.9519346356391908,-0.1948637813329696,-0.8923726677894592,-0.2919789850711822,-0.3441210985183716,-0.384476900100708,0.092567391693592,0.9184817671775818
300,1650639987.8581314,33.2546272277832,-69.2345962524414,1503.190673828125,-0.6409747004508972,0.7029686570167542,0.3081988394260406,-0.5109456181526184,-0.6904116868972778,0.5121194124221802,0.5727879405021667,0.1707827299833297,0.8017151355743408
